yearcode,tenure2,tenurename,ten4s
2017,1,Owner occupier,55.3043702516732
2016,1,Owner occupier,54.9675561755868
2015,1,Owner occupier,54.9898330746434
2014,1,Owner occupier,55.8451127698884
2013,1,Owner occupier,57.0059998867279
2012,1,Owner occupier,58.7621229832628
2011,1,Owner occupier,60.4301623412595
2010,1,Owner occupier,61.4405476536901
2009,1,Owner occupier,62.6641117089
2008,1,Owner occupier,64.1068114544617
2007,1,Owner occupier,65.1673592446657
2006,1,Owner occupier,66.0109347495458
2005,1,Owner occupier,66.7222744350566
2004,1,Owner occupier,67.0606713538874
2003,1,Owner occupier,67.409904505457
2002,1,Owner occupier,67.6001493574411
2001,1,Owner occupier,67.2525943461169
2000,1,Owner occupier,66.8979551691959
1999,1,Owner occupier,66.6868121671513
1998,1,Owner occupier,66.7011977704994
1997,1,Owner occupier,66.5862724746916
1996,1,Owner occupier,66.1256584850473
1995,1,Owner occupier,66.0494822578315
1994,1,Owner occupier,66.1965472916627
2017,2,Social rent,22.2504561720812
2016,2,Social rent,22.3247943746237
2015,2,Social rent,22.1495695741295
2014,2,Social rent,21.7328579656962
2013,2,Social rent,21.3272927851575
2012,2,Social rent,20.8701972512548
2011,2,Social rent,20.6745028446361
2010,2,Social rent,20.7329921506166
2009,2,Social rent,21.1271854230059
2008,2,Social rent,21.6529980624785
2007,2,Social rent,21.798342738017
2006,2,Social rent,21.9319298271562
2005,2,Social rent,22.455317848021
2004,2,Social rent,22.8716649464143
2003,2,Social rent,22.9159096355038
2002,2,Social rent,23.4171439185929
2001,2,Social rent,24.2530617505046
2000,2,Social rent,24.8275135984626
1999,2,Social rent,25.2434316726816
1998,2,Social rent,25.4350312369019
1997,2,Social rent,25.8254613539341
1996,2,Social rent,26.4245569912842
1995,2,Social rent,26.5079894064536
1994,2,Social rent,26.3632255892065
2017,3,Private rent,21.8036372509595
2016,3,Private rent,22.0810612460755
2015,3,Private rent,22.2395736758307
2014,3,Private rent,21.7843573766687
2013,3,Private rent,21.0229136992197
2012,3,Private rent,19.6853947999137
2011,3,Private rent,18.1679470043614
2010,3,Private rent,17.060373636914
2009,3,Private rent,15.4696711451997
2008,3,Private rent,13.5749967854432
2007,3,Private rent,12.3550696154775
2006,3,Private rent,11.3595098025339
2005,3,Private rent,10.037960858871
2004,3,Private rent,9.09400849160672
2003,3,Private rent,8.64657768321618
2002,3,Private rent,8.03625498111307
2001,3,Private rent,7.59944669027109
2000,3,Private rent,7.39631010778345
1999,3,Private rent,7.20822824685574
1998,3,Private rent,6.99253901648453
1997,3,Private rent,6.59575969283798
1996,3,Private rent,6.29911251205137
1995,3,Private rent,6.23522617170195
1994,3,Private rent,6.23254870546928
2017,4,Rent free,.641536325286073
2016,4,Rent free,.626588203713972
2015,4,Rent free,.621023675396425
2014,4,Rent free,.637671887746647
2013,4,Rent free,.64379362889489
2012,4,Rent free,.682284965568756
2011,4,Rent free,.72738780974303
2010,4,Rent free,.766086558779315
2009,4,Rent free,.739031722894385
2008,4,Rent free,.665193697616662
2007,4,Rent free,.679228401839688
2006,4,Rent free,.697625620764037
2005,4,Rent free,.784446858051374
2004,4,Rent free,.973655208091511
2003,4,Rent free,1.02760817582302
2002,4,Rent free,.946451742852951
2001,4,Rent free,.894897213107406
2000,4,Rent free,.878221124557974
1999,4,Rent free,.861527913311385
1998,4,Rent free,.871231976114215
1997,4,Rent free,.992506478536297
1996,4,Rent free,1.15067201161714
1995,4,Rent free,1.20730216401299
1994,4,Rent free,1.2076784136615
