yearcode,tenure2,tenurename,out1s
2017,1,Owner occupier,15.2876357144032
2016,1,Owner occupier,15.5750035762708
2015,1,Owner occupier,16.1303522259427
2014,1,Owner occupier,17.3721295450825
2013,1,Owner occupier,19.4566693219574
2012,1,Owner occupier,22.4307718012972
2011,1,Owner occupier,25.0242304114983
2010,1,Owner occupier,26.1136306081563
2009,1,Owner occupier,27.8432312865705
2008,1,Owner occupier,29.03153373317
2007,1,Owner occupier,28.0655638119101
2006,1,Owner occupier,27.8579453833313
2005,1,Owner occupier,28.8383223320795
2004,1,Owner occupier,29.2423451997042
2017,2,Social rent,52.6160705510553
2016,2,Social rent,52.2306713517375
2015,2,Social rent,51.5399903349925
2014,2,Social rent,50.3505336195281
2013,2,Social rent,48.3891142173917
2012,2,Social rent,46.6256676140029
2011,2,Social rent,45.9592916519405
2010,2,Social rent,46.473739125131
2009,2,Social rent,47.6130802819415
2008,2,Social rent,49.412127933795
2007,2,Social rent,51.5322367926309
2006,2,Social rent,52.8434436379553
2005,2,Social rent,53.8842529813603
2004,2,Social rent,54.5796365072706
2017,3,Private rent,31.4182570041555
2016,3,Private rent,31.4118148274482
2015,3,Private rent,31.5625707655066
2014,3,Private rent,31.7574954649835
2013,3,Private rent,31.7437647842215
2012,3,Private rent,30.5671478735322
2011,3,Private rent,28.6585814668878
2010,3,Private rent,26.8892866350301
2009,3,Private rent,23.9277240057296
2008,3,Private rent,21.0337806254198
2007,3,Private rent,19.8430203195892
2006,3,Private rent,18.7134084270428
2005,3,Private rent,16.7584442128105
2004,3,Private rent,15.6606004067323
2017,4,Rent free,.678036730385947
2016,4,Rent free,.782510244543457
2015,4,Rent free,.76708667355826
2014,4,Rent free,.51984137040596
2013,4,Rent free,.410451676429365
2012,4,Rent free,.376412711167608
2011,4,Rent free,.357896469673408
2010,4,Rent free,.523343631682626
2009,4,Rent free,.615964425758438
2008,4,Rent free,.522557707615233
2007,4,Rent free,.559179075869806
2006,4,Rent free,.585202551670546
2005,4,Rent free,.518980473749654
2004,4,Rent free,.517417886292947
