yearcode,tenure4,tenurename,out1s
2018,1,Owner occupier,11.4183581967068
2017,1,Owner occupier,11.3538157688498
2016,1,Owner occupier,10.9272950097488
2015,1,Owner occupier,10.8227401923464
2014,1,Owner occupier,11.0545692563115
2013,1,Owner occupier,11.0084292454244
2012,1,Owner occupier,11.7130841427526
2011,1,Owner occupier,13.1206258996963
2010,1,Owner occupier,14.3744210423374
2009,1,Owner occupier,16.1464196588099
2008,1,Owner occupier,18.7619349039998
2007,1,Owner occupier,20.4343975366251
2006,1,Owner occupier,20.8538328490732
2005,1,Owner occupier,21.6538241880184
2004,1,Owner occupier,22.0330248857444
2003,1,Owner occupier,21.6405652822838
2002,1,Owner occupier,22.1527713209311
2001,1,Owner occupier,23.8611627166501
2000,1,Owner occupier,24.9416950528335
1999,1,Owner occupier,24.9143729577744
1998,1,Owner occupier,25.016939540448
1997,1,Owner occupier,24.2470877170104
1996,1,Owner occupier,23.5091473023032
1995,1,Owner occupier,23.996096137457
1994,1,Owner occupier,24.3032857922185
2018,2,Social rent,22.0195007755245
2017,2,Social rent,23.1093032974054
2016,2,Social rent,23.7565132281286
2015,2,Social rent,22.9206888883126
2014,2,Social rent,22.6633609496505
2013,2,Social rent,22.3782061484583
2012,2,Social rent,22.1556908024339
2011,2,Social rent,22.7175160208273
2010,2,Social rent,23.2218174171
2009,2,Social rent,23.6960384731254
2008,2,Social rent,24.3201985100317
2007,2,Social rent,25.1151813167729
2006,2,Social rent,26.2516049665697
2005,2,Social rent,28.1256247455484
2004,2,Social rent,30.5456091833341
2003,2,Social rent,32.0506972503111
2002,2,Social rent,32.8903248952954
2001,2,Social rent,34.3525258371114
2000,2,Social rent,36.0608575261353
1999,2,Social rent,36.6037048223659
1998,2,Social rent,36.2797921109461
1997,2,Social rent,36.5132215904875
1996,2,Social rent,36.8539574139509
1995,2,Social rent,36.6231278397976
1994,2,Social rent,36.3927176783708
2018,3,Private rent,42.0956710048952
2017,3,Private rent,41.7458945227595
2016,3,Private rent,41.953221644848
2015,3,Private rent,42.2024006584313
2014,3,Private rent,41.6424547943597
2013,3,Private rent,41.8191268544197
2012,3,Private rent,41.2804488596646
2011,3,Private rent,40.3516547619499
2010,3,Private rent,40.0383339862412
2009,3,Private rent,37.7117616115984
2008,3,Private rent,34.2394677027878
2007,3,Private rent,32.4357150323521
2006,3,Private rent,30.9548673236942
2005,3,Private rent,27.8708606010845
2004,3,Private rent,25.7259621894127
2003,3,Private rent,25.7213483421012
2002,3,Private rent,25.4908252692593
2001,3,Private rent,23.5927932887071
2000,3,Private rent,21.8284090862304
1999,3,Private rent,22.1873936851926
1998,3,Private rent,22.5978442716143
1997,3,Private rent,22.6702549206188
1996,3,Private rent,23.507322213334
1995,3,Private rent,24.2633901618877
1994,3,Private rent,24.5312031944182
2018,4,Care of/rent free,24.4664700228735
2017,4,Care of/rent free,23.7909864109853
2016,4,Care of/rent free,23.3629701172746
2015,4,Care of/rent free,24.0541702609097
2014,4,Care of/rent free,24.6396149996782
2013,4,Care of/rent free,24.7942377516976
2012,4,Care of/rent free,24.8507761951489
2011,4,Care of/rent free,23.8102033175265
2010,4,Care of/rent free,22.3654275543214
2009,4,Care of/rent free,22.4457802564663
2008,4,Care of/rent free,22.6783988831807
2007,4,Care of/rent free,22.0147061142499
2006,4,Care of/rent free,21.939694860663
2005,4,Care of/rent free,22.3496904653487
2004,4,Care of/rent free,21.6954037415088
2003,4,Care of/rent free,20.5873891253039
2002,4,Care of/rent free,19.4660785145142
2001,4,Care of/rent free,18.1935181575313
2000,4,Care of/rent free,17.1690383348009
1999,4,Care of/rent free,16.294528534667
1998,4,Care of/rent free,16.1054240769916
1997,4,Care of/rent free,16.5694357718832
1996,4,Care of/rent free,16.1295730704119
1995,4,Care of/rent free,15.1173858608577
1994,4,Care of/rent free,14.7727933349926
