yearcode,tenure2,tenurename,out1s
2018,1,Owner occupier,24.4186102479388
2017,1,Owner occupier,24.4700970892843
2016,1,Owner occupier,24.5386111238911
2015,1,Owner occupier,25.0147268148126
2014,1,Owner occupier,25.7713874894996
2013,1,Owner occupier,26.6789207902659
2012,1,Owner occupier,29.1515651215968
2011,1,Owner occupier,31.5580016034889
2010,1,Owner occupier,32.0886741395204
2009,1,Owner occupier,33.18495610548
2008,1,Owner occupier,35.3916834283321
2007,1,Owner occupier,36.4998699708348
2006,1,Owner occupier,37.0498253436785
2005,1,Owner occupier,37.6522295488333
2004,1,Owner occupier,36.3123507904976
2018,2,Social rent,39.8552446566326
2017,2,Social rent,40.3566305700746
2016,2,Social rent,39.9262402015648
2015,2,Social rent,38.5834967824955
2014,2,Social rent,38.1437935920923
2013,2,Social rent,38.0727127213563
2012,2,Social rent,37.5356712729457
2011,2,Social rent,37.2186159936318
2010,2,Social rent,38.1637919136285
2009,2,Social rent,39.5561551323048
2008,2,Social rent,40.3764284336386
2007,2,Social rent,41.0689025007271
2006,2,Social rent,42.4575429215607
2005,2,Social rent,44.5915209178895
2004,2,Social rent,46.736524586169
2018,3,Private rent,35.3381465164009
2017,3,Private rent,34.7307703428213
2016,3,Private rent,34.9084122062376
2015,3,Private rent,35.5964081982216
2014,3,Private rent,35.3359049340675
2013,3,Private rent,34.5999459658008
2012,3,Private rent,32.6187449634623
2011,3,Private rent,30.5691565842647
2010,3,Private rent,29.1064471532799
2009,3,Private rent,26.5528703182303
2008,3,Private rent,23.5746572379472
2007,3,Private rent,21.7671101207549
2006,3,Private rent,19.8366363755331
2005,3,Private rent,17.0869010524151
2004,3,Private rent,15.9900021338614
2018,4,Rent free,.387998579027692
2017,4,Rent free,.442501997819843
2016,4,Rent free,.626736468306439
2015,4,Rent free,.805368204470371
2014,4,Rent free,.748913984340636
2013,4,Rent free,.648420522576989
2012,4,Rent free,.694018641995155
2011,4,Rent free,.654225818614659
2010,4,Rent free,.641086793571176
2009,4,Rent free,.706018443984879
2008,4,Rent free,.657230900082127
2007,4,Rent free,.664117407683149
2006,4,Rent free,.655995359227692
2005,4,Rent free,.66934848086204
2004,4,Rent free,.961122489471978
