region,regname,yearcode,age2,tenure4,tenurename,poverty_status,poverty,N_ten4s,N_all2
0,UK,1994,16,1,Owner occupier,1,Poorest tenth,386.333333333333,26353
0,UK,1994,16,2,Social rent,1,Poorest tenth,2304.9350373008,26353
0,UK,1994,16,3,Private rent,1,Poorest tenth,4149.27817496198,26353
0,UK,1994,16,4,Care of/rent free,1,Poorest tenth,19512.4534544039,26353
0,UK,1994,17,1,Owner occupier,1,Poorest tenth,446.428082191781,40603
0,UK,1994,17,2,Social rent,1,Poorest tenth,5563.98711525413,40603
0,UK,1994,17,3,Private rent,1,Poorest tenth,8492.56597295334,40603
0,UK,1994,17,4,Care of/rent free,1,Poorest tenth,26100.0188296008,40603
0,UK,1994,18,1,Owner occupier,1,Poorest tenth,682.479730041656,55287
0,UK,1994,18,2,Social rent,1,Poorest tenth,8619.50932098454,55287
0,UK,1994,18,3,Private rent,1,Poorest tenth,20537.3494302139,55287
0,UK,1994,18,4,Care of/rent free,1,Poorest tenth,25447.6615187599,55287
0,UK,1994,19,1,Owner occupier,1,Poorest tenth,2769.87296727743,142538
0,UK,1994,19,2,Social rent,1,Poorest tenth,24471.5670232094,142538
0,UK,1994,19,3,Private rent,1,Poorest tenth,75409.7115756353,142538
0,UK,1994,19,4,Care of/rent free,1,Poorest tenth,39886.8484338779,142538
0,UK,1994,20,1,Owner occupier,1,Poorest tenth,3554.84684264361,151253
0,UK,1994,20,2,Social rent,1,Poorest tenth,18988.5175580351,151253
0,UK,1994,20,3,Private rent,1,Poorest tenth,94603.356702497,151253
0,UK,1994,20,4,Care of/rent free,1,Poorest tenth,34106.2788968242,151253
0,UK,1994,21,1,Owner occupier,1,Poorest tenth,5828.47695598065,165069
0,UK,1994,21,2,Social rent,1,Poorest tenth,33587.039399376,165069
0,UK,1994,21,3,Private rent,1,Poorest tenth,98247.3444127607,165069
0,UK,1994,21,4,Care of/rent free,1,Poorest tenth,27406.1392318826,165069
0,UK,1994,22,1,Owner occupier,1,Poorest tenth,4120.96552504554,104009
0,UK,1994,22,2,Social rent,1,Poorest tenth,26061.81612349,104009
0,UK,1994,22,3,Private rent,1,Poorest tenth,59493.9994707416,104009
0,UK,1994,22,4,Care of/rent free,1,Poorest tenth,14332.2188807229,104009
0,UK,1994,23,1,Owner occupier,1,Poorest tenth,9896.72301342915,105654
0,UK,1994,23,2,Social rent,1,Poorest tenth,32621.2282065094,105654
0,UK,1994,23,3,Private rent,1,Poorest tenth,49314.5913234205,105654
0,UK,1994,23,4,Care of/rent free,1,Poorest tenth,13821.4574566409,105654
0,UK,1994,24,1,Owner occupier,1,Poorest tenth,9944.57677726993,87694
0,UK,1994,24,2,Social rent,1,Poorest tenth,27779.1166679489,87694
0,UK,1994,24,3,Private rent,1,Poorest tenth,38100.1590083432,87694
0,UK,1994,24,4,Care of/rent free,1,Poorest tenth,11870.1475464379,87694
0,UK,1994,25,1,Owner occupier,1,Poorest tenth,18453.0738135161,94407
0,UK,1994,25,2,Social rent,1,Poorest tenth,32947.3096315283,94407
0,UK,1994,25,3,Private rent,1,Poorest tenth,30622.8258127102,94407
0,UK,1994,25,4,Care of/rent free,1,Poorest tenth,12383.7907422453,94407
0,UK,1994,26,1,Owner occupier,1,Poorest tenth,22082.7001948077,89317
0,UK,1994,26,2,Social rent,1,Poorest tenth,29078.1604195162,89317
0,UK,1994,26,3,Private rent,1,Poorest tenth,27511.0963180947,89317
0,UK,1994,26,4,Care of/rent free,1,Poorest tenth,10645.0430675814,89317
0,UK,1994,27,1,Owner occupier,1,Poorest tenth,22018.3974102679,73466
0,UK,1994,27,2,Social rent,1,Poorest tenth,24638.1631990699,73466
0,UK,1994,27,3,Private rent,1,Poorest tenth,21515.9526433476,73466
0,UK,1994,27,4,Care of/rent free,1,Poorest tenth,5293.48674731456,73466
0,UK,1994,28,1,Owner occupier,1,Poorest tenth,31789.9863114394,100067
0,UK,1994,28,2,Social rent,1,Poorest tenth,31617.4276433822,100067
0,UK,1994,28,3,Private rent,1,Poorest tenth,30963.4405042197,100067
0,UK,1994,28,4,Care of/rent free,1,Poorest tenth,5696.14554095871,100067
0,UK,1994,29,1,Owner occupier,1,Poorest tenth,26668.8347678105,86717
0,UK,1994,29,2,Social rent,1,Poorest tenth,31245.4128487927,86717
0,UK,1994,29,3,Private rent,1,Poorest tenth,24257.2842297312,86717
0,UK,1994,29,4,Care of/rent free,1,Poorest tenth,4545.46815366549,86717
0,UK,1994,30,1,Owner occupier,1,Poorest tenth,28221.5668862484,70268
0,UK,1994,30,2,Social rent,1,Poorest tenth,22823.4132779387,70268
0,UK,1994,30,3,Private rent,1,Poorest tenth,15859.7593679243,70268
0,UK,1994,30,4,Care of/rent free,1,Poorest tenth,3363.26046788862,70268
0,UK,1994,31,1,Owner occupier,1,Poorest tenth,35449.0615193241,85660
0,UK,1994,31,2,Social rent,1,Poorest tenth,27544.3490377275,85660
0,UK,1994,31,3,Private rent,1,Poorest tenth,18803.1529942058,85660
0,UK,1994,31,4,Care of/rent free,1,Poorest tenth,3863.4364487426,85660
0,UK,1994,32,1,Owner occupier,1,Poorest tenth,33185.3281364008,80888
0,UK,1994,32,2,Social rent,1,Poorest tenth,26623.3602531584,80888
0,UK,1994,32,3,Private rent,1,Poorest tenth,18369.0478251505,80888
0,UK,1994,32,4,Care of/rent free,1,Poorest tenth,2710.26378529033,80888
0,UK,1994,33,1,Owner occupier,1,Poorest tenth,35853.950245072,83774
0,UK,1994,33,2,Social rent,1,Poorest tenth,27672.6237082017,83774
0,UK,1994,33,3,Private rent,1,Poorest tenth,16765.8010204127,83774
0,UK,1994,33,4,Care of/rent free,1,Poorest tenth,3481.62502631356,83774
0,UK,1994,34,1,Owner occupier,1,Poorest tenth,44584.696061923,96645
0,UK,1994,34,2,Social rent,1,Poorest tenth,29692.7096199237,96645
0,UK,1994,34,3,Private rent,1,Poorest tenth,18739.5227768764,96645
0,UK,1994,34,4,Care of/rent free,1,Poorest tenth,3628.07154127691,96645
0,UK,1994,35,1,Owner occupier,1,Poorest tenth,32282.189263086,73451
0,UK,1994,35,2,Social rent,1,Poorest tenth,24723.0070206383,73451
0,UK,1994,35,3,Private rent,1,Poorest tenth,14364.0326130459,73451
0,UK,1994,35,4,Care of/rent free,1,Poorest tenth,2081.77110322977,73451
0,UK,1994,36,1,Owner occupier,1,Poorest tenth,35810.0433784828,79617
0,UK,1994,36,2,Social rent,1,Poorest tenth,26319.7465310733,79617
0,UK,1994,36,3,Private rent,1,Poorest tenth,16260.7536972557,79617
0,UK,1994,36,4,Care of/rent free,1,Poorest tenth,1226.45639318819,79617
0,UK,1994,37,1,Owner occupier,1,Poorest tenth,33819.2667238891,79096
0,UK,1994,37,2,Social rent,1,Poorest tenth,28017.2627641267,79096
0,UK,1994,37,3,Private rent,1,Poorest tenth,16430.1816176536,79096
0,UK,1994,37,4,Care of/rent free,1,Poorest tenth,829.288894330697,79096
0,UK,1994,38,1,Owner occupier,1,Poorest tenth,37881.9336794566,83714
0,UK,1994,38,2,Social rent,1,Poorest tenth,30561.9076474833,83714
0,UK,1994,38,3,Private rent,1,Poorest tenth,13843.3046379223,83714
0,UK,1994,38,4,Care of/rent free,1,Poorest tenth,1426.85403513792,83714
0,UK,1994,39,1,Owner occupier,1,Poorest tenth,33575.7230894653,65992
0,UK,1994,39,2,Social rent,1,Poorest tenth,20464.5155027927,65992
0,UK,1994,39,3,Private rent,1,Poorest tenth,10008.0262629713,65992
0,UK,1994,39,4,Care of/rent free,1,Poorest tenth,1943.73514477065,65992
0,UK,1994,40,1,Owner occupier,1,Poorest tenth,38616.1317279235,71826
0,UK,1994,40,2,Social rent,1,Poorest tenth,21725.8262430727,71826
0,UK,1994,40,3,Private rent,1,Poorest tenth,10259.1871874453,71826
0,UK,1994,40,4,Care of/rent free,1,Poorest tenth,1224.85484155846,71826
0,UK,1994,41,1,Owner occupier,1,Poorest tenth,39140.775030307,67072
0,UK,1994,41,2,Social rent,1,Poorest tenth,18772.3114205838,67072
0,UK,1994,41,3,Private rent,1,Poorest tenth,8060.94440601198,67072
0,UK,1994,41,4,Care of/rent free,1,Poorest tenth,1097.9691430972,67072
0,UK,1994,42,1,Owner occupier,1,Poorest tenth,29168.8763454085,54799
