region,regname,yearcode,age2,tenure4,tenurename,poverty_status,poverty,N_ten4s,N_all2
1,London,1994,16,1,Owner occupier,1,Poorest fifth,194.205082690601,24582
1,London,1994,16,2,Social rent,1,Poorest fifth,2569.53762549273,24582
1,London,1994,16,3,Private rent,1,Poorest fifth,3724.52849481856,24582
1,London,1994,16,4,Care of/rent free,1,Poorest fifth,18093.7287969981,24582
1,London,1994,18,1,Owner occupier,1,Poorest fifth,474,79997
1,London,1994,18,2,Social rent,1,Poorest fifth,10140.243422162,79997
1,London,1994,18,3,Private rent,1,Poorest fifth,23579.532185353,79997
1,London,1994,18,4,Care of/rent free,1,Poorest fifth,45803.224392485,79997
1,London,1994,20,1,Owner occupier,1,Poorest fifth,5072.29245826847,141942
1,London,1994,20,2,Social rent,1,Poorest fifth,33508.0835340283,141942
1,London,1994,20,3,Private rent,1,Poorest fifth,57786.172792941,141942
1,London,1994,20,4,Care of/rent free,1,Poorest fifth,45575.4512147622,141942
1,London,1994,22,1,Owner occupier,1,Poorest fifth,6775.46236816025,123896
1,London,1994,22,2,Social rent,1,Poorest fifth,36372.4538888162,123896
1,London,1994,22,3,Private rent,1,Poorest fifth,52679.4294167243,123896
1,London,1994,22,4,Care of/rent free,1,Poorest fifth,28068.6543262992,123896
1,London,1994,24,1,Owner occupier,1,Poorest fifth,11430.652300518,114965
1,London,1994,24,2,Social rent,1,Poorest fifth,48838.2204451669,114965
1,London,1994,24,3,Private rent,1,Poorest fifth,37070.965692618,114965
1,London,1994,24,4,Care of/rent free,1,Poorest fifth,17625.1615616971,114965
1,London,1994,26,1,Owner occupier,1,Poorest fifth,15112.0988381479,117353
1,London,1994,26,2,Social rent,1,Poorest fifth,52952.4594393396,117353
1,London,1994,26,3,Private rent,1,Poorest fifth,37078.8192252666,117353
1,London,1994,26,4,Care of/rent free,1,Poorest fifth,12209.6224972459,117353
1,London,1994,28,1,Owner occupier,1,Poorest fifth,19809.2223572292,115638
1,London,1994,28,2,Social rent,1,Poorest fifth,51770.631165259,115638
1,London,1994,28,3,Private rent,1,Poorest fifth,35154.4187809556,115638
1,London,1994,28,4,Care of/rent free,1,Poorest fifth,8903.7276965562,115638
1,London,1994,30,1,Owner occupier,1,Poorest fifth,24507.4306859099,110471
1,London,1994,30,2,Social rent,1,Poorest fifth,51466.4115623161,110471
1,London,1994,30,3,Private rent,1,Poorest fifth,27830.9692245958,110471
1,London,1994,30,4,Care of/rent free,1,Poorest fifth,6666.18852717821,110471
1,London,1994,32,1,Owner occupier,1,Poorest fifth,37738.4271302075,136649
1,London,1994,32,2,Social rent,1,Poorest fifth,67681.8797985683,136649
1,London,1994,32,3,Private rent,1,Poorest fifth,23486.187260219,136649
1,London,1994,32,4,Care of/rent free,1,Poorest fifth,7742.50581100518,136649
1,London,1994,34,1,Owner occupier,1,Poorest fifth,36824.0003766491,125681
1,London,1994,34,2,Social rent,1,Poorest fifth,64222.2936861349,125681
1,London,1994,34,3,Private rent,1,Poorest fifth,18842.8961267775,125681
1,London,1994,34,4,Care of/rent free,1,Poorest fifth,5791.80981043851,125681
1,London,1994,36,1,Owner occupier,1,Poorest fifth,26092.0947534255,82419
1,London,1994,36,2,Social rent,1,Poorest fifth,39903.9126283088,82419
1,London,1994,36,3,Private rent,1,Poorest fifth,13031.1794901065,82419
1,London,1994,36,4,Care of/rent free,1,Poorest fifth,3391.8131281592,82419
1,London,1994,38,1,Owner occupier,1,Poorest fifth,33636.6749198907,85994
1,London,1994,38,2,Social rent,1,Poorest fifth,35489.8540001739,85994
